Country,Flag,UpdatedFlag
Guinea-Bissau,056-guinea-bissau.png,Guinea-Bissau.png
Guyana,blank.png,Guyana.png
Haiti,185-haiti.png,Haiti.png
Holy See,blank.png,Holy See.png
Honduras,024-honduras.png,Honduras.png
Hungary,115-hungary.png,Hungary.png
Iceland,080-iceland.png,Iceland.png
India,246-india.png,India.png
Indonesia,209-indonesia.png,Indonesia.png
Iran,136-iran.png,Iran.png
Iraq,020-iraq.png,Iraq.png
Ireland,179-ireland.png,Ireland.png
Israel,155-israel.png,Israel.png
Italy,013-italy.png,Italy.png
Jamaica,037-jamaica.png,Jamaica.png
Japan,063-japan.png,Japan.png
Jordan,077-jordan.png,Jordan.png
Kazakhstan,074-kazakhstan.png,Kazakhstan.png
Kenya,067-kenya.png,Kenya.png
Kosovo,052-kosovo.png,Kosovo.png
Kuwait,107-kwait.png,Kuwait.png
Kyrgyzstan,152-kyrgyzstan.png,Kyrgyzstan.png
"Lao People""s Democratic Republic",112-laos.png,"Lao People""s Democratic Republic.png"
Latvia,044-latvia.png,Latvia.png
Lebanon,018-lebanon.png,Lebanon.png
Lesotho,176-lesotho.png,Lesotho.png
Liberia,169-liberia.png,Liberia.png
Libyan Arab Jamahiriya,231-libya.png,Libyan Arab Jamahiriya.png
Liechtenstein,134-liechtenstein.png,Liechtenstein.png
Lithuania,064-lithuania.png,Lithuania.png
Luxembourg,035-luxembourg.png,Luxembourg.png
MS Zaandam,blank.png,MS Zaandam.png
Macedonia,236-republic-of-macedonia.png,Macedonia.png
Madagascar,242-madagascar.png,Madagascar.png
Malawi,214-malawi.png,Malawi.png
Malaysia,118-malasya.png,Malaysia.png
Maldives,225-maldives.png,Maldives.png
Mali,173-mali.png,Mali.png
Malta,194-malta.png,Malta.png
Mauritania,050-mauritania.png,Mauritania.png
Mauritius,001-mauritius.png,Mauritius.png
Mexico,252-mexico.png,Mexico.png
Moldova,212-moldova.png,Moldova.png
Monaco,039-monaco.png,Monaco.png
Mongolia,258-mongolia.png,Mongolia.png
Montenegro,239-montenegro.png,Montenegro.png
Morocco,166-morocco.png,Morocco.png
Mozambique,096-mozambique.png,Mozambique.png
Namibia,062-namibia.png,Namibia.png
Nepal,016-nepal.png,Nepal.png
Netherlands,237-netherlands.png,Netherlands.png
New Zealand,121-new-zealand.png,New Zealand.png
Nicaragua,007-nicaragua.png,Nicaragua.png
Niger,222-niger.png,Niger.png
Nigeria,086-nigeria.png,Nigeria.png
Norway,143-norway.png,Norway.png
Oman,004-oman.png,Oman.png
Pakistan,100-pakistan.png,Pakistan.png
Panama,106-panama.png,Panama.png
Papua New Guinea,163-papua-new-guinea.png,Papua New Guinea.png
Paraguay,041-paraguay.png,Paraguay.png
Peru,188-peru.png,Peru.png
Philippines,192-philippines.png,Philippines.png
Poland,211-poland.png,Poland.png
Portugal,224-portugal.png,Portugal.png
Qatar,blank.png,Qatar.png
Romania,109-romania.png,Romania.png
Russia,248-russia.png,Russia.png
Rwanda,206-rwanda.png,Rwanda.png
S. Korea,094-south-korea.png,S. Korea.png
Saint Kitts and Nevis,blank.png,Saint Kitts and Nevis.png
Saint Lucia,172-st-lucia.png,Saint Lucia.png
Saint Vincent and the Grenadines,241-st-vincent-and-the-grenadines.png,Saint Vincent and the Grenadines.png
San Marino,097-san-marino.png,San Marino.png
Sao Tome and Principe,012-sao-tome-and-prince.png,Sao Tome and Principe.png
Saudi Arabia,133-saudi-arabia.png,Saudi Arabia.png
Senegal,227-senegal.png,Senegal.png
Serbia,071-serbia.png,Serbia.png
Seychelles,253-seychelles.png,Seychelles.png
Sierra Leone,092-sierra-leone.png,Sierra Leone.png
Singapore,230-singapore.png,Singapore.png
Slovakia,091-slovakia.png,Slovakia.png
Slovenia,010-slovenia.png,Slovenia.png
Somalia,083-somalia.png,Somalia.png
South Africa,200-south-africa.png,South Africa.png
South Sudan,244-south-sudan.png,South Sudan.png
Spain,128-spain.png,Spain.png
Sri Lanka,127-sri-lanka.png,Sri Lanka.png
Sudan,199-sudan.png,Sudan.png
Suriname,076-suriname.png,Suriname.png
Swaziland,154-swaziland.png,Swaziland.png
Sweden,184-sweden.png,Sweden.png
Switzerland,205-switzerland.png,Switzerland.png
Syrian Arab Republic,022-syria.png,Syrian Arab Republic.png
Taiwan,202-taiwan.png,Taiwan.png
Tajikistan,196-tajikistan.png,Tajikistan.png
Tanzania,006-tanzania.png,Tanzania.png
Thailand,238-thailand.png,Thailand.png
Timor-Leste,blank.png,Timor-Leste.png
Togo,073-togo.png,Togo.png
Trinidad and Tobago,181-trinidad-and-tobago.png,Trinidad and Tobago.png
Tunisia,049-tunisia.png,Tunisia.png
Turkey,218-turkey.png,Turkey.png
UAE,151-united-arab-emirates.png,UAE.png
UK,260-united-kingdom.png,UK.png
USA,usa.png,USA.png
Uganda,009-uganda.png,Uganda.png
Ukraine,145-ukraine.png,Ukraine.png
Uruguay,088-uruguay.png,Uruguay.png
Uzbekistan,blank.png,Uzbekistan.png
Venezuela,139-venezuela.png,Venezuela.png
Vietnam,220-vietnam.png,Vietnam.png
West Bank and Gaza,blank.png,West Bank and Gaza.png
Western Sahara,blank.png,Western Sahara.png
Yemen,232-yemen.png,Yemen.png
Zambia,032-zambia.png,Zambia.png
Zimbabwe,011-zimbabwe.png,Zimbabwe.png
